DESeq2 analysis results,,,,,,,,,,
Transcript,Gene Symbol,Name,Entrez ID,baseMean,DESeq2 Log2 Fold Change,lfcSE,stat,pvalue,padj,Log2 Fold Change (Tumor/Non-malignant)
EXOSC3.51010,EXOSC3,Exosome complex component RRP40 ,51010,732.9438057,0.283147848,0.055393708,5.111552553,0.00000032,0.00000105,0.072477763
FAHD2A.51011,FAHD2A,Fumarylacetoacetate hydrolase domain-containing protein 2A ,51011,931.9058216,0.417542869,0.076186609,5.480528293,4.24E-08,0.000000158,0.146489867
SLMO2.51012,SLMO2,Protein slowmo homolog 2,51012,2844.879506,0.331447894,0.069056235,4.799680943,0.00000159,0.00000477,0.14489622
EXOSC1.51013,EXOSC1,Exosome complex component CSL4 ,51013,872.7454431,0.047599379,0.072606948,0.655576081,0.51209692,0.572387617,-0.18744186
TMED7.51014,TMED7,Transmembrane emp24 domain-containing protein 7 ,51014,7290.460801,-0.246327067,0.084914805,-2.900873029,0.003721246,0.006608563,-0.396284368
ISOC1.51015,ISOC1,Isochorismatase domain-containing protein 1,51015,1588.677545,0.010472358,0.059363345,0.17641118,0.859970922,0.884903649,-0.183811352
FAM158A.51016,EMC9,ER membrane protein complex subunit 9 ,51016,750.5824384,0.66895928,0.122157922,5.476184169,4.35E-08,0.000000162,0.395531107
RRP15.51018,RRP15,RRP15-like protein ,51018,992.0894155,0.119130325,0.053408994,2.230529292,0.025712325,0.039375342,-0.065871506
CCDC53.51019,CCDC53,WASH complex subunit CCDC53 ,51019,1075.906311,0.044363916,0.071183959,0.62322911,0.533133975,0.592199103,-0.191546919
HDDC2.51020,HDDC2,HD domain-containing protein 2 ,51020,1976.684839,-0.157814066,0.074019956,-2.13204755,0.033002938,0.049497938,-0.35971735
MRPS16.51021,MRPS16,"28S ribosomal protein S16, mitochondrial ",51021,4521.156573,0.31523881,0.060570603,5.204485253,0.000000195,0.000000659,0.088237438
GLRX2.51022,GLRX2,"Glutaredoxin-2, mitochondrial",51022,735.0633896,0.34628077,0.101910562,3.397888914,0.00067908,0.001363863,0.086164521
MRPS18C.51023,MRPS18C,"28S ribosomal protein S18c, mitochondrial ",51023,580.9626787,0.150608105,0.059685973,2.523341693,0.011624539,0.018980661,-0.084628096
FIS1.51024,FIS1,Mitochondrial fission 1 protein ,51024,5692.630515,0.31716435,0.09317711,3.403886955,0.000664342,0.001336229,0.034589461
TIMM16.51025,PAM16,Mitochondrial import inner membrane translocase subunit TIM16 ,51025,655.1683984,1.022330867,0.124080949,8.239225073,1.73E-16,1.97E-15,0.717347714
GOLT1B.51026,GOLT1B,Vesicle transport protein GOT1B ,51026,1980.79331,-0.053165199,0.063803508,-0.833264523,0.40469556,0.466487471,-0.251496462
BOLA1.51027,BOLA1,BolA-like protein 1 ,51027,758.0369638,0.045137099,0.081793662,0.551841029,0.581057274,0.638119686,-0.177872247
VPS36.51028,VPS36,Vacuolar protein-sorting-associated protein 36 ,51028,2814.481427,-0.32475828,0.080174019,-4.050667347,0.0000511,0.000122462,-0.51036177
PPPDE1.51029,DESI2,Desumoylating isopeptidase 2 ,51029,1755.789032,-0.318408757,0.069190543,-4.601911489,0.00000419,0.0000118,-0.467598162
FAM18B.51030,TVP23B,Golgi apparatus membrane protein TVP23 homolog B,51030,1796.423844,-0.102336612,0.060193898,-1.700116068,0.089109096,0.122136347,-0.260962725
GLOD4.51031,GLOD4,Glyoxalase domain-containing protein 4,51031,3422.372735,0.099366145,0.053926373,1.842626145,0.065383614,0.092275067,-0.109117869
CELA2B.51032,CELA2B,Chymotrypsin-like elastase family member 2B ,51032,0.062355544,0.002381765,0.57948233,0.00411016,0.996720576,NA,-0.274756891
UBXN1.51035,UBXN1,UBX domain-containing protein 1 ,51035,4956.431865,0.297390039,0.084713743,3.510528843,0.000447216,0.000923793,0.041041696
ZNF593.51042,ZNF593,Zinc finger protein 593 ,51042,1457.068207,0.964137222,0.135072303,7.137934268,9.47E-13,6.44E-12,0.660035704
ZBTB7B.51043,ZBTB7B,Zinc finger and BTB domain-containing protein 7B ,51043,5927.944263,0.636219632,0.077738817,8.184066343,2.74E-16,3.03E-15,0.459608712
ST8SIA3.51046,ST8SIA3,"Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase ",51046,4.525866447,-1.084940222,0.326811392,-3.3197748,0.000900901,0.001775261,-1.243915245
PI15.51050,PI15,Peptidase inhibitor 15 ,51050,6002.947016,0.060599638,0.240853649,0.25160357,0.801347499,0.835683474,-0.100840122
PRLH.51052,PRLH,Prolactin-releasing peptide ,51052,0.048635647,0.494199559,0.574880697,0.859655857,0.389978775,NA,Inf
GMNN.51053,GMNN,Geminin,51053,1556.584321,-0.339456506,0.149956394,-2.263701455,0.023592483,0.036400048,-0.595493971
PLEKHA9.51054,,,51054,90.27910774,-0.568333455,0.105921983,-5.365585512,8.07E-08,0.000000288,-0.691773268
LAP3.51056,LAP3,Cytosol aminopeptidase ,51056,3314.337075,0.16217076,0.058462197,2.773942274,0.00553815,0.009561807,-0.02405985
C2orf86.51057,WDPCP,WD repeat-containing and planar cell polarity effector protein fritz homolog ,51057,132.6917439,-0.015201744,0.083687606,-0.181648694,0.855858432,0.881667841,-0.191431108
ZNF691.51058,ZNF691,Zinc finger protein 691,51058,620.4681808,0.163934743,0.065103022,2.518081932,0.011799587,0.019243487,-0.051767581
FAM135B.51059,FAM135B,Protein FAM135B,51059,30.54651499,-0.178498118,0.2721703,-0.655832461,0.511931928,0.572236635,-0.002529131
TXNDC12.51060,TXNDC12,Thioredoxin domain-containing protein 12 ,51060,3508.995192,0.137869067,0.059190085,2.329259509,0.019845322,0.031059561,-0.071189551
TXNDC11.51061,TXNDC11,Thioredoxin domain-containing protein 11 ,51061,5703.33391,0.381447725,0.06089222,6.264309669,3.74E-10,1.83E-09,0.175728952
ATL1.51062,ATL1,Atlastin-1 ,51062,947.7727844,-0.086119227,0.092338122,-0.932650836,0.351000277,0.411209217,-0.287486983
CALHM2.51063,CALHM2,Calcium homeostasis modulator protein 2 ,51063,619.4100019,-0.631270322,0.11076556,-5.699157052,0.000000012,4.82E-08,-0.82886672
RPS27L.51065,RPS27L,40S ribosomal protein S27-like,51065,3566.641373,0.261749018,0.089796589,2.914910478,0.003557906,0.006339174,0.001540045
C3orf32.51066,SSUH2,Protein SSUH2 homolog ,51066,8.024432351,0.230843526,0.19446989,1.187039935,0.235211869,0.289201647,-0.011123732
YARS2.51067,YARS2,"Tyrosine--tRNA ligase, mitochondrial ",51067,678.2045523,0.225906483,0.04688611,4.818196358,0.00000145,0.00000437,0.034770173
NMD3.51068,NMD3,60S ribosomal export protein NMD3 ,51068,2293.881985,-0.035546311,0.070693012,-0.502826374,0.615086349,0.669660341,-0.228014056
MRPL2.51069,MRPL2,"39S ribosomal protein L2, mitochondrial ",51069,1154.023156,0.13195905,0.073660436,1.791450847,0.073220976,0.102182467,-0.092135633
NOSIP.51070,NOSIP,Nitric oxide synthase-interacting protein ,51070,2121.813599,0.398560934,0.100493843,3.966023396,0.0000731,0.000170828,0.118586012
DERA.51071,DERA,Deoxyribose-phosphate aldolase ,51071,704.9345817,-0.471912094,0.06020174,-7.838844794,4.55E-15,4.27E-14,-0.701771158
MEMO1.51072,MEMO1,Protein MEMO1 ,51072,940.2147126,0.453433301,0.079299157,5.71800912,1.08E-08,4.34E-08,0.225962197
MRPL4.51073,MRPL4,"39S ribosomal protein L4, mitochondrial ",51073,2193.499278,0.219600839,0.071091545,3.088986715,0.002008404,0.00373852,0.002229519
APIP.51074,APIP,Methylthioribulose-1-phosphate dehydratase ,51074,1215.959324,-0.055536642,0.070720896,-0.78529325,0.432281652,0.493891008,-0.206130319
TMX2.51075,TMX2,Thioredoxin-related transmembrane protein 2 ,51075,5041.02571,0.027473479,0.048997378,0.560713254,0.57499303,0.632307235,-0.165998004
CUTC.51076,CUTC,Copper homeostasis protein cutC homolog,51076,591.6221593,-0.146802073,0.074565209,-1.968774375,0.048979006,0.071041655,-0.403971954
FCF1.51077,FCF1,rRNA-processing protein FCF1 homolog,51077,1691.409474,-0.15362544,0.045536695,-3.373662458,0.000741753,0.001481956,-0.337525401
THAP4.51078,THAP4,THAP domain-containing protein 4,51078,3732.092727,0.298702063,0.062810934,4.755574272,0.00000198,0.00000585,0.094640423
NDUFA13.51079,NDUFA13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 ,51079,10142.6917,0.516584662,0.114799713,4.499877647,0.0000068,0.0000186,0.201988755
MRPS7.51081,MRPS7,"28S ribosomal protein S7, mitochondrial ",51081,2948.337996,0.289390209,0.063556614,4.553266622,0.00000528,0.0000147,0.060048382
POLR1D.51082,POLR1D,DNA-directed RNA polymerases I and III subunit RPAC2 ,51082,4770.143079,0.354860045,0.06595739,5.380140789,7.44E-08,0.000000267,0.118747069
GAL.51083,GAL,Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide ,51083,126.2273222,2.385504981,0.242045762,9.855594902,6.48E-23,1.88E-21,1.635212896
CRYL1.51084,CRYL1,Lambda-crystallin homolog ,51084,3969.51057,0.272732152,0.090103584,3.026873505,0.002470973,0.00452645,0.104612867
MLXIPL.51085,MLXIPL,Carbohydrate-responsive element-binding protein ,51085,79.13752093,-0.488108086,0.185221827,-2.635262243,0.00840723,0.01404141,-0.354259719
TNNI3K.51086,TNNI3K,Serine/threonine-protein kinase TNNI3K ,51086,27.16330644,-1.332901907,0.156761238,-8.502751858,1.85E-17,2.4E-16,-1.525374495
YBX2.51087,YBX2,Y-box-binding protein 2 ,51087,38.18903232,-1.213887121,0.211389695,-5.742413878,9.33E-09,3.79E-08,-1.39037239
KLHL5.51088,KLHL5,Kelch-like protein 5,51088,1662.867632,-1.089004734,0.114962247,-9.472716147,2.73E-21,6.21E-20,-1.228302672
PLLP.51090,PLLP,Plasmolipin ,51090,466.4831088,-2.178571036,0.16023191,-13.59636192,4.21E-42,1.24E-39,-2.247781556
SEPSECS.51091,SEPSECS,O-phosphoseryl-tRNA,51091,686.5004033,-0.038745955,0.059902184,-0.646820411,0.517748181,0.577629347,-0.224726171
SIDT2.51092,SIDT2,SID1 transmembrane family member 2,51092,6122.194672,-0.052079711,0.087159807,-0.597519808,0.550160386,0.608743605,-0.261344765
C1orf66.51093,RRNAD1,Protein RRNAD1 ,51093,2115.111722,0.154240605,0.059337518,2.599377436,0.009339302,0.015491273,-0.054312652
ADIPOR1.51094,ADIPOR1,Adiponectin receptor protein 1 ,51094,7229.46539,0.303618784,0.062498901,4.857985975,0.00000119,0.00000361,0.137740537
TRNT1.51095,TRNT1,"CCA tRNA nucleotidyltransferase 1, mitochondrial ",51095,1130.147232,0.54618778,0.107147904,5.097512504,0.000000344,0.00000113,0.391712646
UTP18.51096,UTP18,U3 small nucleolar RNA-associated protein 18 homolog ,51096,1447.904847,0.297453589,0.054252013,5.482811993,4.19E-08,0.000000156,0.086864172
SCCPDH.51097,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase ,51097,5098.647756,0.264526765,0.065542569,4.035953548,0.0000544,0.000129666,0.056019658
IFT52.51098,IFT52,Intraflagellar transport protein 52 homolog ,51098,1262.634966,-0.196790328,0.046512573,-4.230906062,0.0000233,0.0000588,-0.400792147
ABHD5.51099,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 ,51099,1138.729234,-0.102538806,0.054410733,-1.884532713,0.059492954,0.084626184,-0.268003667
SH3GLB1.51100,SH3GLB1,Endophilin-B1 ,51100,4286.137316,-0.571123576,0.043113808,-13.24688318,4.7E-40,1.06E-37,-0.741181911
FAM164A.51101,FAM164A,Zinc finger C2HC domain-containing protein 1A,51101,833.4632127,-0.196129334,0.084354089,-2.325072053,0.020068108,0.031379998,-0.365745246
MECR.51102,MECR,"Trans-2-enoyl-CoA reductase, mitochondrial ",51102,862.1903035,0.365765493,0.064848939,5.640269529,0.000000017,6.67E-08,0.124868554
NDUFAF1.51103,NDUFAF1,"Complex I intermediate-associated protein 30, mitochondrial ",51103,767.4055625,-0.053386767,0.065761216,-0.811827556,0.416890588,0.478497447,-0.24819314
FAM108B1.51104,ABHD17B,Alpha/beta hydrolase domain-containing protein 17B ,51104,1309.75735,0.229272171,0.08314782,2.757404494,0.005826223,0.010024793,0.065783103
PHF20L1.51105,PHF20L1,PHD finger protein 20-like protein 1,51105,1823.812298,0.040888456,0.065318589,0.625984986,0.531324789,0.59063532,-0.131714783
TFB1M.51106,TFB1M,"Dimethyladenosine transferase 1, mitochondrial ",51106,322.9808466,-0.016368742,0.065496088,-0.249919392,0.802649686,0.836950207,-0.194497052
APH1A.51107,APH1A,Gamma-secretase subunit APH-1A ,51107,9593.515778,0.097543025,0.047401355,2.057810895,0.03960829,0.058501126,-0.079662164
METTL9.51108,METTL9,Methyltransferase-like protein 9 ,51108,5742.136968,0.21947312,0.05425837,4.044963386,0.0000523,0.000125247,0.013695909
RDH11.51109,RDH11,Retinol dehydrogenase 11 ,51109,87374.18526,0.177356208,0.15711083,1.128860492,0.258956689,0.315109819,-0.09913747
LACTB2.51110,LACTB2,Beta-lactamase-like protein 2 ,51110,716.9979386,0.406752956,0.097564391,4.169071851,0.0000306,0.0000758,0.155746493
SUV420H1.51111,SUV420H1,Histone-lysine N-methyltransferase SUV420H1 ,51111,2919.732873,0.113433924,0.064879994,1.748365211,0.080400808,0.111276766,-0.054871778
TTC15.51112,TRAPPC12,Trafficking protein particle complex subunit 12 ,51112,2287.062145,0.234379507,0.061169085,3.831666043,0.000127278,0.000285377,0.014370629
ZDHHC9.51114,ZDHHC9,Palmitoyltransferase ZDHHC9 ,51114,4278.210047,0.76858192,0.083826196,9.16875582,4.79E-20,9.06E-19,0.610825787
FAM82B.51115,RMDN1,Regulator of microtubule dynamics protein 1 ,51115,1636.708606,0.066623428,0.060522813,1.100798606,0.270984318,0.328089568,-0.157059119
MRPS2.51116,MRPS2,"28S ribosomal protein S2, mitochondrial ",51116,3071.40291,0.50436524,0.08869666,5.6864062,0.000000013,5.18E-08,0.307514638
COQ4.51117,COQ4,"Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial ",51117,3473.41347,0.58838932,0.089338836,6.586041924,4.52E-11,2.46E-10,0.340835401
UTP11L.51118,UTP11L,Probable U3 small nucleolar RNA-associated protein 11 ,51118,1333.081437,0.140260749,0.049108786,2.856123334,0.004288485,0.00754374,-0.074841837
SBDS.51119,SBDS,Ribosome maturation protein SBDS ,51119,4666.050027,-0.426582635,0.053673255,-7.947769108,1.9E-15,1.87E-14,-0.634084338
RPL26L1.51121,RPL26L1,60S ribosomal protein L26-like 1,51121,568.5061441,0.384012719,0.071556891,5.366537223,8.03E-08,0.000000286,0.142529706
COMMD2.51122,COMMD2,COMM domain-containing protein 2,51122,1213.579778,-0.24490694,0.055309831,-4.427909756,0.00000952,0.0000255,-0.467899627
ZNF706.51123,ZNF706,Zinc finger protein 706,51123,2607.364802,0.416290053,0.076625542,5.432784471,5.55E-08,0.000000203,0.184976544
IER3IP1.51124,IER3IP1,Immediate early response 3-interacting protein 1,51124,3093.468447,0.319895078,0.070001444,4.569835423,0.00000488,0.0000136,0.081949113
GOLGA7.51125,GOLGA7,Golgin subfamily A member 7 ,51125,2483.637309,-0.123303868,0.065503739,-1.88239433,0.059782495,0.08500997,-0.356245508
NAA20.51126,NAA20,N-alpha-acetyltransferase 20 ,51126,2534.338861,0.167933809,0.064113833,2.619306939,0.008810863,0.014674544,-0.046837482
TRIM17.51127,TRIM17,E3 ubiquitin-protein ligase TRIM17 ,51127,38.959469,-0.755639232,0.190299312,-3.970793286,0.0000716,0.000167692,-0.820547323
SAR1B.51128,SAR1B,GTP-binding protein SAR1b ,51128,2543.514709,0.16608503,0.098093104,1.693136651,0.090429459,0.123724471,-0.027109132
ANGPTL4.51129,ANGPTL4,Angiopoietin-related protein 4 ,51129,749.3553286,-0.998042387,0.20577331,-4.850203303,0.00000123,0.00000375,-1.308447982
ASB3.51130,ASB3,Ankyrin repeat and SOCS box protein 3 ,51130,744.0765958,-0.70600103,0.069687373,-10.13097502,4.03E-24,1.37E-22,-0.885596802
PHF11.51131,PHF11,PHD finger protein 11 ,51131,847.4692142,-0.413965533,0.076633917,-5.401857957,0.000000066,0.000000239,-0.654938118
RLIM.51132,RLIM,E3 ubiquitin-protein ligase RLIM ,51132,3709.901885,0.088634132,0.059333519,1.493829002,0.135220319,0.177479568,-0.073833096
KCTD3.51133,KCTD3,BTB/POZ domain-containing protein KCTD3 ,51133,6308.274813,0.180760555,0.068151451,2.652336105,0.007993693,0.013406921,0.001100817
CCDC41.51134,CEP83,Centrosomal protein of 83 kDa ,51134,431.3121096,0.666140559,0.071228467,9.352167533,8.59E-21,1.8E-19,0.475042708
IRAK4.51135,IRAK4,Interleukin-1 receptor-associated kinase 4 ,51135,880.7166504,-0.253550271,0.045950456,-5.517905403,3.43E-08,0.000000129,-0.424718822
RNFT1.51136,RNFT1,RING finger and transmembrane domain-containing protein 1 ,51136,505.7141318,0.010283618,0.073375013,0.140151504,0.888540288,0.907952338,-0.172537082
COPS4.51138,COPS4,COP9 signalosome complex subunit 4 ,51138,1878.628769,-0.212118129,0.050988429,-4.160122882,0.0000318,0.0000787,-0.41816539
INSIG2.51141,INSIG2,Insulin-induced gene 2 protein ,51141,1177.93588,-0.110807395,0.074625335,-1.484849562,0.13758368,0.180111941,-0.292579527
CHCHD2.51142,CHCHD2,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial ",51142,10470.10453,0.158243304,0.073813907,2.143814236,0.032047774,0.048171126,-0.081691961
DYNC1LI1.51143,DYNC1LI1,Cytoplasmic dynein 1 light intermediate chain 1 ,51143,2299.28433,0.202583081,0.049491436,4.093295685,0.0000425,0.000103193,-0.015895254
HSD17B12.51144,HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase ,51144,4659.344441,-0.231784878,0.089162531,-2.59957716,0.009333869,0.015483604,-0.36315904
A4GNT.51146,A4GNT,"Alpha-1,4-N-acetylglucosaminyltransferase ",51146,0.729309797,0.121377616,0.321421944,0.377627037,0.705707677,0.752309159,-0.039043091
ING4.51147,ING4,Inhibitor of growth protein 4 ,51147,1838.195463,0.110951496,0.070227843,1.579879025,0.114134574,0.152692638,-0.13704036
CERCAM.51148,CERCAM,Probable inactive glycosyltransferase 25 family member 3 ,51148,1760.561673,-0.540055796,0.104529049,-5.166561852,0.000000238,0.000000799,-0.751032338
C5orf45.51149,C5orf45,UPF0544 protein C5orf45,51149,590.7166707,0.036515736,0.092239886,0.395877936,0.692195079,0.740048726,-0.211177632
SDF4.51150,SDF4,45 kDa calcium-binding protein ,51150,9924.066154,0.347667987,0.055333052,6.283188338,3.32E-10,1.63E-09,0.155341347
SLC45A2.51151,SLC45A2,Membrane-associated transporter protein ,51151,228.9069083,4.713566228,0.311625921,15.12571938,1.1E-51,5.99E-49,5.093565525
MRTO4.51154,MRTO4,mRNA turnover protein 4 homolog ,51154,2149.933812,0.560608307,0.076495303,7.328663144,2.32E-13,1.73E-12,0.308513462
HN1.51155,HN1,Hematological and neurological expressed 1 protein ,51155,2252.750583,0.49599788,0.108057469,4.590130474,0.00000443,0.0000124,0.256228409
SERPINA10.51156,SERPINA10,Protein Z-dependent protease inhibitor ,51156,0.694939275,1.555305,0.439805615,3.536346392,0.000405702,0.000842315,2.25885873
ZNF580.51157,ZNF580,Zinc finger protein 580 ,51157,1361.385771,0.535097336,0.104065832,5.141911878,0.000000272,0.000000904,0.27852574
VPS28.51160,VPS28,Vacuolar protein sorting-associated protein 28 homolog ,51160,6942.063097,0.48192319,0.095243093,5.05992795,0.000000419,0.00000136,0.215939388
C3orf18.51161,C3orf18,Uncharacterized protein C3orf18 ,51161,435.981889,-0.783840366,0.097781384,-8.016253532,1.09E-15,1.12E-14,-0.989031182
EGFL7.51162,EGFL7,Epidermal growth factor-like protein 7 ,51162,1549.116934,0.376528593,0.141438009,2.662145749,0.007764425,0.01305559,0.083900597
DBR1.51163,DBR1,Lariat debranching enzyme ,51163,781.3444872,0.089332078,0.052658529,1.69644083,0.089802427,0.122963312,-0.098299052
DCTN4.51164,DCTN4,Dynactin subunit 4 ,51164,4779.434541,0.080389557,0.045953056,1.749384333,0.080224607,0.111073079,-0.098780501
AADAT.51166,AADAT,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial ",51166,1062.340245,0.84693801,0.136677323,6.196624238,5.77E-10,2.74E-09,0.617009697
CYB5R4.51167,CYB5R4,Cytochrome b5 reductase 4 ,51167,435.5791683,-0.196152061,0.080543278,-2.435362271,0.014876887,0.023841405,-0.384274788
MYO15A.51168,MYO15A,Unconventional myosin-XV ,51168,24.76508674,-0.462184862,0.128104185,-3.607882607,0.000308706,0.000652403,-0.688360568
HSD17B11.51170,HSD17B11,Estradiol 17-beta-dehydrogenase 11 ,51170,2710.817931,0.466351321,0.133256811,3.499643415,0.000465881,0.00095924,0.307050139
HSD17B14.51171,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14 ,51171,683.1401864,0.473258431,0.15399396,3.073227223,0.002117572,0.003919987,0.205958927
NAGPA.51172,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase ,51172,724.7958075,0.349422621,0.084273646,4.146285799,0.0000338,0.0000833,0.11484872
TUBD1.51174,TUBD1,Tubulin delta chain ,51174,554.4705107,-0.099603419,0.058122622,-1.713677308,0.086588007,0.118987757,-0.305172978
TUBE1.51175,TUBE1,Tubulin epsilon chain ,51175,372.8587868,-0.45118663,0.06619319,-6.816209239,9.35E-12,5.58E-11,-0.649349312
LEF1.51176,LEF1,Lymphoid enhancer-binding factor 1 ,51176,562.341288,0.74977797,0.159380839,4.704316865,0.00000255,0.0000074,0.568698873
PLEKHO1.51177,PLEKHO1,Pleckstrin homology domain-containing family O member 1 ,51177,2074.75222,-0.604017221,0.133246892,-4.533067992,0.00000581,0.0000161,-0.886230695
HAO2.51179,HAO2,Hydroxyacid oxidase 2 ,51179,0.986789425,0.015733638,0.322611361,0.048769633,0.961102883,0.968293585,-0.207440623
DCXR.51181,DCXR,L-xylulose reductase ,51181,14854.29261,1.028960995,0.153662884,6.696223363,2.14E-11,1.21E-10,0.676244413
HSPA14.51182,HSPA14,Heat shock 70 kDa protein 14 ,51182,920.3149145,0.050335513,0.052411827,0.960384626,0.336861673,0.396710404,-0.142210833
GPN3.51184,GPN3,GPN-loop GTPase 3 ,51184,1152.353665,-0.010778716,0.052759222,-0.204300131,0.838118968,0.867129035,-0.225325627
CRBN.51185,CRBN,Protein cereblon,51185,1651.830224,-0.282267587,0.050108747,-5.633100096,1.77E-08,6.94E-08,-0.482108819
WBP5.51186,WBP5,WW domain-binding protein 5 ,51186,3221.488718,-0.066217011,0.075819627,-0.873349208,0.382472767,0.444082546,-0.230632
RSL24D1.51187,RSL24D1,Probable ribosome biogenesis protein RLP24 ,51187,4749.210248,0.030101483,0.067956811,0.442950195,0.65780176,0.70902342,-0.218643173
SS18L2.51188,SS18L2,SS18-like protein 2 ,51188,1511.691362,0.899072639,0.116971961,7.686223538,1.52E-14,1.32E-13,0.628784554
HERC5.51191,HERC5,E3 ISG15--protein ligase HERC5 ,51191,559.8540895,-0.252702988,0.097624407,-2.588522632,0.009638861,0.015939784,-0.473359374
CKLF.51192,CKLF,Chemokine-like factor ,51192,382.5901541,0.105750867,0.076131935,1.389047401,0.164818337,0.211353719,-0.145238482
ZNF639.51193,ZNF639,Zinc finger protein 639 ,51193,1664.909538,0.099546304,0.050705845,1.96321161,0.049621591,0.071853836,-0.078271542
IPO11.51194,IPO11,Importin-11 ,51194,1031.37878,-0.332348375,0.072077149,-4.611008918,0.00000401,0.0000113,-0.495208171
RAPGEFL1.51195,RAPGEFL1,Rap guanine nucleotide exchange factor-like 1 ,51195,580.0903187,-1.613077237,0.144986296,-11.12572213,9.4E-29,6.32E-27,-1.855258292
PLCE1.51196,PLCE1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 ",51196,358.3901947,-0.992681413,0.142363044,-6.972886953,3.11E-12,1.97E-11,-1.126778663
C9orf53.51198,,,51198,0.313247003,0.349868456,0.440908119,0.793517833,0.427476184,0.489238372,0.241563944
NIN.51199,NIN,Ninein ,51199,2158.058711,0.244719611,0.070382783,3.476981163,0.000507093,0.001038174,0.073816331
CPA4.51200,CPA4,Carboxypeptidase A4 ,51200,5.000200931,-0.935558646,0.251076989,-3.726182355,0.000194402,0.000423084,-1.116011419
ZDHHC2.51201,ZDHHC2,Palmitoyltransferase ZDHHC2 ,51201,1916.31534,-0.520758462,0.091152257,-5.713061611,1.11E-08,4.46E-08,-0.629365015
DDX47.51202,DDX47,Probable ATP-dependent RNA helicase DDX47 ,51202,1920.228423,-0.242688606,0.049892921,-4.864189184,0.00000115,0.00000351,-0.452125236
NUSAP1.51203,NUSAP1,Nucleolar and spindle-associated protein 1 ,51203,343.3836569,0.847755946,0.174172041,4.86734805,0.00000113,0.00000346,0.754165871
TACO1.51204,TACO1,Translational activator of cytochrome c oxidase 1 ,51204,922.8174533,0.236468161,0.068603436,3.446885082,0.00056709,0.001152127,0.003300451
ACP6.51205,ACP6,Lysophosphatidic acid phosphatase type 6 ,51205,1199.885152,0.550709234,0.079928057,6.890061598,5.58E-12,3.42E-11,0.377208989
GP6.51206,GP6,Platelet glycoprotein VI ,51206,16.44141233,0.369868909,0.168605679,2.193691879,0.028257568,0.042966956,0.119811969
DUSP13.51207,DUSP13,Dual specificity protein phosphatase 13 isoform A ,51207,6.09800671,-0.198808046,0.430222753,-0.462104908,0.64400609,0.696114618,-0.894490926
CLDN18.51208,CLDN18,Claudin-18,51208,2.303950058,-0.033214083,0.227159645,-0.146214718,0.883751887,0.904389518,-0.221118927
RAB9B.51209,RAB9B,Ras-related protein Rab-9B ,51209,67.28072251,-2.024087272,0.182440408,-11.09451186,1.33E-28,8.65E-27,-2.233053904
LUZP4.51213,LUZP4,Leucine zipper protein 4 ,51213,0.174574967,-0.687355484,0.533902216,-1.2874183,0.197948529,0.248116588,-1.31915101
IGF2AS.51214,,,51214,3.154072788,-0.786321055,0.289722777,-2.714046383,0.006646686,0.011318417,-1.167147917
GLRX5.51218,GLRX5,"Glutaredoxin-related protein 5, mitochondrial ",51218,2209.565284,0.252385505,0.057877767,4.360664188,0.000013,0.0000339,0.031267186
ZNF219.51222,ZNF219,Zinc finger protein 219,51222,1398.545226,-1.062585251,0.113460475,-9.365245929,7.59E-21,1.6E-19,-1.177831135
TCEB3B.51224,TCEB3B,RNA polymerase II transcription factor SIII subunit A2 ,51224,0.367290833,0.373403076,0.401145519,0.930841947,0.351935328,0.412178451,0.285711048
ABI3.51225,ABI3,ABI gene family member 3 ,51225,314.8376259,-0.076429736,0.111351856,-0.686380439,0.492473236,0.55277903,-0.32329822
COPZ2.51226,COPZ2,Coatomer subunit zeta-2 ,51226,507.7208469,-0.838486561,0.13709711,-6.116004659,9.6E-10,4.43E-09,-1.114480391
PIGP.51227,PIGP,Phosphatidylinositol N-acetylglucosaminyltransferase subunit P ,51227,1054.266174,0.233546962,0.073295809,3.186361742,0.001440743,0.002745435,0.00507611
GLTP.51228,GLTP,Glycolipid transfer protein ,51228,3574.216935,-0.091615847,0.055396312,-1.653825752,0.098162922,0.13311524,-0.288398932
PHF20.51230,PHF20,PHD finger protein 20 ,51230,2619.09142,-0.014462242,0.050142072,-0.288425288,0.773021213,0.81105116,-0.173287472
VRK3.51231,VRK3,Inactive serine/threonine-protein kinase VRK3 ,51231,1875.311757,0.122383024,0.060457777,2.024272631,0.042942108,0.062992296,-0.069749478
